Effective date ;S&P 500 (TR);S&P 500 (Net TR);S&P 500
28/02/07;2175,78;2090,68;1406,82
01/03/07;2170,17;2085,27;1403,17
02/03/07;2145,43;2061,5;1387,17
05/03/07;2125,34;2042,17;1374,12
06/03/07;2158,36;2073,87;1395,41
07/03/07;2153,65;2069,16;1391,97
08/03/07;2169,14;2084,01;1401,89
09/03/07;2170,62;2085,43;1402,85
12/03/07;2176,5;2091,06;1406,6
13/03/07;2132,76;2048,87;1377,95
14/03/07;2147,18;2062,68;1387,17
15/03/07;2155,18;2070,34;1392,28
16/03/07;2146,93;2062,41;1386,95
19/03/07;2170,33;2084,88;1402,06
20/03/07;2184,1;2098,1;1410,94
21/03/07;2221,46;2133,98;1435,04
22/03/07;2220,68;2133,23;1434,54
23/03/07;2223,12;2135,57;1436,11
26/03/07;2225,26;2137,63;1437,5
27/03/07;2211,52;2124,42;1428,61
28/03/07;2194,38;2107,83;1417,23
29/03/07;2202,68;2115,77;1422,53
30/03/07;2200,12;2113,31;1420,86
02/04/07;2205,85;2118,81;1424,55
03/04/07;2226,76;2138,76;1437,77
04/04/07;2229,25;2141,15;1439,37
05/04/07;2236,71;2148,12;1443,76
09/04/07;2238,03;2149,39;1444,61
10/04/07;2243,93;2155,05;1448,39
11/04/07;2229,44;2141,06;1438,87
12/04/07;2243,3;2154,36;1447,8
13/04/07;2251,12;2161,87;1452,85
16/04/07;2275,35;2185,13;1468,47
17/04/07;2280,01;2189,61;1471,48
18/04/07;2281,61;2191,14;1472,5
19/04/07;2278,91;2188,54;1470,73
20/04/07;2300,08;2208,85;1484,35
23/04/07;2294,82;2203,79;1480,93
24/04/07;2294,02;2203,01;1480,41
25/04/07;2317,5;2225,49;1495,42
26/04/07;2315,91;2223,9;1494,25
27/04/07;2315,7;2223,68;1494,07
30/04/07;2297,57;2206,28;1482,37
01/05/07;2303,68;2212,13;1486,3
02/05/07;2318,84;2226,62;1495,92
03/05/07;2329,54;2236,71;1502,39
04/05/07;2334,61;2241,55;1505,62
07/05/07;2340,68;2247,36;1509,48
08/05/07;2338,14;2244,86;1507,72
09/05/07;2346,3;2252,52;1512,58
10/05/07;2313,94;2221,34;1491,47
11/05/07;2336,48;2242,91;1505,85
14/05/07;2332,43;2238,98;1503,15
15/05/07;2329,61;2236,21;1501,19
16/05/07;2350,4;2255,97;1514,14
17/05/07;2348,44;2254,03;1512,75
18/05/07;2363,97;2268,94;1522,75
21/05/07;2367,63;2272,44;1525,1
22/05/07;2366,1;2270,98;1524,12
23/05/07;2363,29;2268,26;1522,28
24/05/07;2340,64;2246,45;1507,51
25/05/07;2353,42;2258,71;1515,73
29/05/07;2357,39;2262,44;1518,11
30/05/07;2377,09;2281,09;1530,23
31/05/07;2377,75;2281,71;1530,62
01/06/07;2386,63;2290,23;1536,34
04/06/07;2391,13;2294,53;1539,18
05/06/07;2378,44;2282,32;1530,95
06/06/07;2357,95;2262,49;1517,38
07/06/07;2316,63;2222,81;1490,72
08/06/07;2342,98;2248,09;1507,67
11/06/07;2345,27;2250,28;1509,12
12/06/07;2320,22;2226,24;1493
13/06/07;2356,02;2260,43;1515,67
14/06/07;2367,52;2271,42;1522,97
15/06/07;2382,97;2286,24;1532,91
18/06/07;2380,09;2283,47;1531,05
19/06/07;2384,25;2287,46;1533,7
20/06/07;2351,87;2256,37;1512,84
21/06/07;2366,92;2270,67;1522,19
22/06/07;2336,41;2241,39;1502,56
25/06/07;2328,91;2234,2;1497,74
26/06/07;2321,46;2227,03;1492,89
27/06/07;2342,84;2247,41;1506,34
28/06/07;2341,9;2246,49;1505,71
29/06/07;2338,25;2242,98;1503,35
02/07/07;2363,28;2266,99;1519,43
03/07/07;2372,22;2275,43;1524,87
05/07/07;2373,07;2276,23;1525,4
06/07/07;2381,59;2284,21;1530,44
09/07/07;2383,8;2286,33;1531,85
10/07/07;2349,98;2253,89;1510,12
11/07/07;2363,72;2266,98;1518,76
12/07/07;2408,79;2310,2;1547,7
13/07/07;2416,28;2317,38;1552,5
16/07/07;2411,65;2312,94;1549,52
17/07/07;2411,41;2312,71;1549,37
18/07/07;2406,69;2308,11;1546,17
19/07/07;2417,5;2318,45;1553,08
20/07/07;2387,96;2290,12;1534,1
23/07/07;2399,64;2301,31;1541,57
24/07/07;2352,12;2255,73;1511,04
25/07/07;2363,12;2266,28;1518,09
26/07/07;2307,98;2213,4;1482,66
27/07/07;2271,41;2178,23;1458,95
30/07/07;2294,75;2200,59;1473,91
31/07/07;2265,75;2172,78;1455,27
01/08/07;2282,3;2188,61;1465,81
02/08/07;2292,79;2198,51;1472,2
03/08/07;2231,98;2140,16;1433,06
06/08/07;2285,93;2191,88;1467,67
07/08/07;2300,1;2205,44;1476,71
08/08/07;2333,24;2236,99;1497,49
09/08/07;2264,5;2170,97;1453,09
10/08/07;2265,36;2171,79;1453,64
13/08/07;2264,58;2170,94;1452,92
14/08/07;2223,71;2131,69;1426,54
15/08/07;2193,4;2102,45;1406,7
16/08/07;2200,61;2109,34;1411,27
17/08/07;2254,68;2161,17;1445,94
20/08/07;2254,07;2160,59;1445,55
21/08/07;2256,52;2162,93;1447,12
22/08/07;2283,08;2188,36;1464,07
23/08/07;2280,68;2186,04;1462,5
24/08/07;2307,22;2211,41;1479,37
27/08/07;2287,62;2192,62;1466,79
28/08/07;2234,02;2141,22;1432,36
29/08/07;2283,58;2188,55;1463,76
30/08/07;2274,16;2179,49;1457,64
31/08/07;2299,71;2203,96;1473,99
04/09/07;2323,83;2227,06;1489,42
05/09/07;2298,16;2202,16;1472,29
06/09/07;2308,35;2211,8;1478,55
07/09/07;2269,32;2174,41;1453,55
10/09/07;2266,51;2171,69;1451,7
